CustomerID,LoanAmount,GeoAccuracy,LeadResponseTime,LeadSource,TransactionHistory,BehavioralScore,LeadConversion,DisbursalAmount,InquiryTime,ProductType,ChannelType,NeedsPhysicalVerification,FastResponse
14,438468,0.876423738,48,Online,41,0.58548876,0,407787,1/7/2024 7:00,PersonalLoan,LocalSpoke,FALSE,FALSE
15,225203,0.750016958,14,Referral,25,0.997809456,0,360470,1/28/2024 0:00,ConsumerDurables,MainBranch,TRUE,TRUE
16,241335,0.563905922,25,Referral,29,0.173892907,0,373349,1/28/2024 10:00,PersonalLoan,MainBranch,TRUE,FALSE
17,328167,0.791118724,34,Online,31,0.261086319,0,101507,1/8/2024 21:00,ConsumerDurables,MainBranch,TRUE,FALSE
18,91090,0.649937134,24,Branch,43,0.898426654,1,442819,1/29/2024 8:00,PersonalLoan,LocalSpoke,TRUE,FALSE
19,379365,0.517201604,38,Referral,39,0.626286535,1,131345,1/6/2024 7:00,ConsumerDurables,MainBranch,TRUE,FALSE
20,114820,0.817464865,54,Online,2,0.492531299,1,476160,1/26/2024 3:00,PersonalLoan,LocalSpoke,FALSE,FALSE
21,312913,0.929466175,23,Referral,12,0.562705097,0,355871,1/25/2024 12:00,PersonalLoan,LocalSpoke,FALSE,FALSE
22,371879,0.672384883,5,Branch,5,0.295495345,1,469652,1/19/2024 23:00,ConsumerDurables,LocalSpoke,TRUE,TRUE
23,244027,0.695147774,44,Branch,27,0.855321782,0,24741,1/4/2024 5:00,ConsumerDurables,MainBranch,TRUE,FALSE
24,377069,0.945510841,59,Online,34,0.745269025,0,448921,1/19/2024 1:00,PersonalLoan,MainBranch,FALSE,FALSE
25,302709,0.906804407,36,Branch,14,0.642466432,0,205096,1/27/2024 1:00,ConsumerDurables,MainBranch,FALSE,FALSE
26,249041,0.857476412,54,Branch,7,0.931742598,0,302768,1/25/2024 9:00,PersonalLoan,MainBranch,FALSE,FALSE
27,317455,0.624398532,24,Branch,37,0.578110861,0,188244,1/6/2024 4:00,ConsumerDurables,MainBranch,TRUE,FALSE
28,153355,0.955108327,36,Referral,36,0.511877109,0,321514,1/9/2024 19:00,ConsumerDurables,LocalSpoke,FALSE,FALSE
29,285796,0.577207879,5,Online,10,0.975693402,0,144476,1/9/2024 0:00,ConsumerDurables,MainBranch,TRUE,TRUE
30,264176,0.81338526,39,Online,29,0.206014113,0,122484,1/25/2024 11:00,ConsumerDurables,MainBranch,FALSE,FALSE
31,234779,0.51440059,6,Online,16,0.141968173,0,271272,1/10/2024 10:00,ConsumerDurables,MainBranch,TRUE,TRUE
32,397449,0.821859903,45,Branch,38,0.16228287,1,191466,1/15/2024 3:00,ConsumerDurables,LocalSpoke,FALSE,FALSE
33,471909,0.638572176,36,Referral,21,0.989442008,0,450655,1/6/2024 19:00,PersonalLoan,MainBranch,TRUE,FALSE
34,308795,0.724838489,45,Online,38,0.652251055,1,164410,1/29/2024 6:00,PersonalLoan,LocalSpoke,TRUE,FALSE
35,442752,0.672632276,4,Referral,41,0.305922882,1,408451,1/18/2024 4:00,PersonalLoan,LocalSpoke,TRUE,TRUE
36,206730,0.586378378,10,Online,33,0.248977804,0,352396,1/8/2024 17:00,PersonalLoan,MainBranch,TRUE,TRUE
37,396622,0.810990395,52,Branch,29,0.05663859,0,316732,1/14/2024 10:00,PersonalLoan,MainBranch,FALSE,FALSE
38,434681,0.940987778,1,Online,48,0.131947329,0,465458,1/9/2024 22:00,ConsumerDurables,LocalSpoke,FALSE,TRUE
39,199503,0.979542121,21,Online,17,0.908172581,0,386978,1/25/2024 12:00,ConsumerDurables,MainBranch,FALSE,FALSE
40,180523,0.596173182,40,Branch,13,0.747341061,1,162805,1/22/2024 4:00,PersonalLoan,LocalSpoke,TRUE,FALSE
41,52747,0.858686387,39,Branch,6,0.941559735,0,295678,1/4/2024 2:00,ConsumerDurables,LocalSpoke,FALSE,FALSE
42,173855,0.832169683,37,Online,2,0.423730936,1,132698,1/18/2024 0:00,PersonalLoan,MainBranch,FALSE,FALSE
43,115725,0.671688895,3,Referral,8,0.601237246,0,320320,1/27/2024 3:00,ConsumerDurables,LocalSpoke,TRUE,TRUE
44,179981,0.5095496,47,Branch,32,0.483671259,1,357680,1/15/2024 3:00,PersonalLoan,MainBranch,TRUE,FALSE
45,134654,0.844895624,31,Online,36,0.881385396,0,317616,1/24/2024 8:00,PersonalLoan,LocalSpoke,FALSE,FALSE
46,478989,0.97274743,27,Branch,9,0.991381887,1,184934,1/14/2024 6:00,PersonalLoan,LocalSpoke,FALSE,FALSE
47,431490,0.816060061,17,Referral,23,0.932775208,1,492173,1/10/2024 22:00,ConsumerDurables,LocalSpoke,FALSE,FALSE
48,117435,0.717646362,23,Online,7,0.598055848,0,375204,1/22/2024 5:00,ConsumerDurables,MainBranch,TRUE,FALSE
49,369030,0.762576947,13,Online,31,0.061801977,0,77853,1/19/2024 21:00,PersonalLoan,LocalSpoke,TRUE,TRUE
50,378947,0.599814404,47,Referral,21,0.617526613,0,123021,1/30/2024 13:00,PersonalLoan,LocalSpoke,TRUE,FALSE
51,81551,0.875272082,27,Referral,1,0.097047422,1,300746,1/21/2024 6:00,ConsumerDurables,MainBranch,FALSE,FALSE
52,428360,0.873209915,51,Online,46,0.138821474,0,194782,1/3/2024 9:00,ConsumerDurables,LocalSpoke,FALSE,FALSE
53,323538,0.57275865,20,Referral,2,0.191344698,0,71160,1/27/2024 9:00,PersonalLoan,LocalSpoke,TRUE,FALSE
54,381236,0.938989191,46,Referral,40,0.363493421,0,387931,1/27/2024 9:00,ConsumerDurables,MainBranch,FALSE,FALSE
55,53890,0.63459487,53,Online,11,0.591786484,0,366490,1/12/2024 0:00,ConsumerDurables,MainBranch,TRUE,FALSE
56,91606,0.99112803,13,Branch,37,0.333553674,0,363325,1/11/2024 1:00,PersonalLoan,LocalSpoke,FALSE,TRUE
57,306840,0.691451507,44,Referral,18,0.452267107,0,135678,1/4/2024 3:00,ConsumerDurables,MainBranch,TRUE,FALSE
58,399457,0.588942029,24,Branch,44,0.047289033,0,244738,1/30/2024 8:00,PersonalLoan,LocalSpoke,TRUE,FALSE
59,191699,0.675860056,55,Branch,24,0.619757801,0,347589,1/15/2024 11:00,PersonalLoan,LocalSpoke,TRUE,FALSE
60,320936,0.720090164,41,Branch,19,0.657031766,0,376358,1/23/2024 2:00,ConsumerDurables,MainBranch,TRUE,FALSE
61,289931,0.534653887,59,Referral,5,0.099390148,0,464146,1/27/2024 9:00,PersonalLoan,MainBranch,TRUE,FALSE
62,289629,0.789109191,3,Online,29,0.785117156,0,211041,1/6/2024 21:00,ConsumerDurables,LocalSpoke,TRUE,TRUE
63,255041,0.79881622,43,Online,39,0.647459558,0,29659,1/22/2024 3:00,ConsumerDurables,LocalSpoke,TRUE,FALSE
64,224073,0.869465228,10,Online,2,0.489729429,1,315851,1/28/2024 23:00,ConsumerDurables,MainBranch,FALSE,TRUE
65,257624,0.514584946,1,Online,17,0.552859874,0,162943,1/5/2024 16:00,ConsumerDurables,LocalSpoke,TRUE,TRUE
66,467113,0.770619107,49,Online,45,0.503045735,0,205990,1/21/2024 12:00,ConsumerDurables,MainBranch,TRUE,FALSE
67,118148,0.526453717,58,Online,11,0.053792944,0,274697,1/15/2024 13:00,PersonalLoan,MainBranch,TRUE,FALSE
68,302801,0.85057211,13,Branch,37,0.735149461,0,203763,1/1/2024 18:00,ConsumerDurables,LocalSpoke,FALSE,TRUE
69,174243,0.527863993,14,Branch,13,0.511810637,0,388014,1/10/2024 0:00,PersonalLoan,LocalSpoke,TRUE,TRUE
70,301995,0.955863924,33,Branch,29,0.172823853,1,213375,1/21/2024 19:00,PersonalLoan,MainBranch,FALSE,FALSE
71,432318,0.851041283,2,Referral,32,0.680730854,0,454488,1/27/2024 17:00,PersonalLoan,LocalSpoke,FALSE,TRUE
72,204555,0.753694883,2,Referral,45,0.695065606,0,264342,1/30/2024 17:00,PersonalLoan,MainBranch,TRUE,TRUE
73,436502,0.720751962,39,Referral,40,0.213495469,1,398583,1/18/2024 16:00,ConsumerDurables,MainBranch,TRUE,FALSE
74,98555,0.565336315,41,Online,43,0.796495073,0,82490,1/29/2024 20:00,PersonalLoan,MainBranch,TRUE,FALSE
75,306508,0.645499695,56,Branch,8,0.456504726,0,223449,1/18/2024 2:00,ConsumerDurables,LocalSpoke,TRUE,FALSE
76,329303,0.934479553,31,Referral,10,0.180609613,0,182866,1/22/2024 6:00,PersonalLoan,MainBranch,FALSE,FALSE
77,422654,0.952226406,4,Branch,25,0.657620003,0,54373,1/5/2024 11:00,PersonalLoan,LocalSpoke,FALSE,TRUE
78,156530,0.500373854,34,Online,11,0.596726965,1,36499,1/5/2024 8:00,ConsumerDurables,MainBranch,TRUE,FALSE
79,130077,0.797068196,19,Branch,28,0.170406326,0,19372,1/24/2024 2:00,ConsumerDurables,LocalSpoke,TRUE,FALSE
80,348064,0.859650305,58,Online,33,0.8723489,0,391923,1/13/2024 0:00,ConsumerDurables,MainBranch,FALSE,FALSE
81,250551,0.809373491,37,Referral,39,0.854534333,0,194321,1/18/2024 18:00,PersonalLoan,MainBranch,FALSE,FALSE
82,331601,0.540839882,9,Online,26,0.836244588,0,451631,1/27/2024 6:00,ConsumerDurables,LocalSpoke,TRUE,TRUE
83,258261,0.608862449,24,Online,8,0.399227859,1,268618,1/13/2024 1:00,ConsumerDurables,LocalSpoke,TRUE,FALSE
84,290181,0.625170134,13,Branch,38,0.824622775,0,443129,1/14/2024 21:00,ConsumerDurables,MainBranch,TRUE,TRUE
85,391097,0.915862316,44,Online,26,0.844795308,1,63192,1/1/2024 19:00,PersonalLoan,LocalSpoke,FALSE,FALSE
86,365139,0.731599718,30,Referral,32,0.996540272,0,285930,1/14/2024 5:00,PersonalLoan,MainBranch,TRUE,FALSE
87,221829,0.743414106,19,Referral,46,0.957604618,1,420352,1/20/2024 6:00,PersonalLoan,LocalSpoke,TRUE,FALSE
88,321836,0.967446523,41,Online,28,0.382847335,0,459679,1/1/2024 1:00,ConsumerDurables,LocalSpoke,FALSE,FALSE
89,488974,0.818542944,10,Branch,7,0.19820425,0,18528,1/9/2024 23:00,PersonalLoan,LocalSpoke,FALSE,TRUE
90,252283,0.949333851,51,Referral,35,0.292462393,1,96191,1/25/2024 23:00,PersonalLoan,MainBranch,FALSE,FALSE
91,246769,0.728254428,42,Referral,2,0.494781227,0,165638,1/11/2024 12:00,ConsumerDurables,MainBranch,TRUE,FALSE
92,87065,0.574718129,44,Online,22,0.805457634,1,354393,1/10/2024 6:00,ConsumerDurables,MainBranch,TRUE,FALSE
93,273165,0.964967797,14,Online,22,0.722984056,0,339142,1/9/2024 15:00,ConsumerDurables,LocalSpoke,FALSE,TRUE
94,149299,0.729352558,40,Referral,3,0.787712759,0,470115,1/27/2024 5:00,ConsumerDurables,LocalSpoke,TRUE,FALSE
95,475822,0.590815711,48,Online,46,0.379926373,1,433581,1/3/2024 19:00,PersonalLoan,MainBranch,TRUE,FALSE
96,61534,0.65119787,49,Online,45,0.246904644,1,53399,1/10/2024 9:00,ConsumerDurables,LocalSpoke,TRUE,FALSE
97,90397,0.525401295,20,Referral,8,0.024129674,1,276036,1/25/2024 14:00,ConsumerDurables,MainBranch,TRUE,FALSE
98,307750,0.734150296,4,Branch,4,0.626183622,1,78549,1/15/2024 2:00,ConsumerDurables,LocalSpoke,TRUE,TRUE
99,403531,0.926564086,38,Branch,15,0.795037736,0,358507,1/28/2024 10:00,PersonalLoan,LocalSpoke,FALSE,FALSE
100,313160,0.966790228,44,Referral,44,0.889140494,0,405667,1/16/2024 7:00,PersonalLoan,LocalSpoke,FALSE,FALSE
101,105591,0.966301104,50,Online,46,0.476237883,1,82370,1/21/2024 11:00,ConsumerDurables,LocalSpoke,FALSE,FALSE
102,270884,0.562615013,39,Referral,39,0.927645778,0,287537,1/23/2024 18:00,ConsumerDurables,MainBranch,TRUE,FALSE
103,73247,0.691026941,5,Referral,12,0.202412062,1,497911,1/28/2024 11:00,PersonalLoan,MainBranch,TRUE,TRUE
104,74300,0.51411438,42,Online,29,0.514378123,0,123834,1/15/2024 22:00,ConsumerDurables,LocalSpoke,TRUE,FALSE
105,132798,0.927582672,32,Branch,9,0.213767745,0,184804,1/13/2024 8:00,ConsumerDurables,MainBranch,FALSE,FALSE
106,59268,0.679377881,6,Branch,42,0.188075513,0,334265,1/27/2024 9:00,ConsumerDurables,MainBranch,TRUE,TRUE
107,398951,0.815558514,59,Online,40,0.953388132,0,161765,1/18/2024 4:00,ConsumerDurables,MainBranch,FALSE,FALSE
108,324329,0.857449219,14,Referral,20,0.817740689,0,298797,1/17/2024 14:00,ConsumerDurables,MainBranch,FALSE,TRUE
109,244776,0.714922335,6,Online,34,0.011799896,0,241349,1/23/2024 15:00,PersonalLoan,LocalSpoke,TRUE,TRUE
110,267851,0.653221168,14,Referral,26,0.268512995,1,84467,1/28/2024 4:00,PersonalLoan,LocalSpoke,TRUE,TRUE
111,482315,0.981106455,12,Online,48,0.205135251,0,52184,1/17/2024 6:00,PersonalLoan,LocalSpoke,FALSE,TRUE
112,451787,0.982244113,27,Online,21,0.14713418,0,370966,1/22/2024 23:00,PersonalLoan,MainBranch,FALSE,FALSE
113,286584,0.644718184,54,Branch,23,0.697412429,1,225803,1/12/2024 1:00,ConsumerDurables,MainBranch,TRUE,FALSE
114,88044,0.739812548,26,Branch,18,0.566837831,1,52891,1/11/2024 8:00,PersonalLoan,MainBranch,TRUE,FALSE
115,363358,0.986422079,12,Online,24,0.453934571,0,148665,1/8/2024 15:00,PersonalLoan,LocalSpoke,FALSE,TRUE
116,426896,0.502434204,8,Online,42,0.189497058,1,360171,1/9/2024 1:00,PersonalLoan,MainBranch,TRUE,TRUE
117,98984,0.706339124,10,Branch,29,0.277618056,0,254780,1/21/2024 18:00,ConsumerDurables,LocalSpoke,TRUE,TRUE
118,352918,0.550228775,16,Referral,38,0.356101049,1,471527,1/29/2024 5:00,PersonalLoan,MainBranch,TRUE,FALSE
119,314712,0.754578983,52,Branch,38,0.785482686,1,143583,1/3/2024 4:00,ConsumerDurables,MainBranch,TRUE,FALSE
120,170151,0.512334977,26,Referral,13,0.989189434,0,282550,1/4/2024 9:00,ConsumerDurables,LocalSpoke,TRUE,FALSE
121,183767,0.703449216,8,Branch,32,0.183977055,1,187891,1/23/2024 17:00,PersonalLoan,LocalSpoke,TRUE,TRUE
122,174375,0.610349537,41,Branch,19,0.341522669,1,50136,1/4/2024 12:00,PersonalLoan,LocalSpoke,TRUE,FALSE
123,229262,0.766654181,45,Referral,17,0.280201547,0,386593,1/17/2024 0:00,ConsumerDurables,MainBranch,TRUE,FALSE
124,186330,0.997996825,29,Online,2,0.044067395,0,326493,1/30/2024 22:00,PersonalLoan,MainBranch,FALSE,FALSE
125,351648,0.900268053,20,Branch,18,0.219218857,0,307300,1/30/2024 17:00,PersonalLoan,MainBranch,FALSE,FALSE
126,214231,0.922821046,17,Branch,39,0.901613943,0,11005,1/24/2024 18:00,ConsumerDurables,MainBranch,FALSE,FALSE
127,63986,0.817632494,19,Branch,27,0.842858179,1,486673,1/2/2024 0:00,PersonalLoan,LocalSpoke,FALSE,FALSE
128,111858,0.520779924,17,Online,14,0.167597315,0,145271,1/23/2024 14:00,PersonalLoan,MainBranch,TRUE,FALSE
129,179312,0.603398838,39,Branch,15,0.366163013,0,387064,1/25/2024 9:00,ConsumerDurables,MainBranch,TRUE,FALSE
130,62666,0.962532278,1,Online,8,0.310803055,1,305583,1/1/2024 2:00,PersonalLoan,MainBranch,FALSE,TRUE
131,350804,0.683056559,59,Branch,9,0.147740808,1,397860,1/26/2024 13:00,PersonalLoan,MainBranch,TRUE,FALSE
132,184633,0.551818363,52,Referral,21,0.62220821,1,337407,1/9/2024 1:00,PersonalLoan,MainBranch,TRUE,FALSE
133,338998,0.851202683,29,Branch,43,0.55729776,0,10629,1/27/2024 8:00,PersonalLoan,MainBranch,FALSE,FALSE
134,376649,0.649728862,14,Branch,35,0.426991333,0,39122,1/29/2024 20:00,ConsumerDurables,LocalSpoke,TRUE,TRUE
135,154488,0.634428456,17,Online,14,0.855498328,0,173951,1/16/2024 16:00,ConsumerDurables,LocalSpoke,TRUE,FALSE
136,233323,0.998988728,13,Online,27,0.61971134,0,201813,1/23/2024 16:00,PersonalLoan,MainBranch,FALSE,TRUE
137,334806,0.929069463,29,Online,8,0.259273683,0,38392,1/4/2024 18:00,PersonalLoan,LocalSpoke,FALSE,FALSE
138,320536,0.703968909,34,Referral,35,0.373704737,1,130527,1/28/2024 4:00,ConsumerDurables,LocalSpoke,TRUE,FALSE
139,80535,0.990130604,27,Referral,18,0.15015673,0,388698,1/21/2024 4:00,PersonalLoan,LocalSpoke,FALSE,FALSE
140,425713,0.825056612,46,Online,14,0.591373273,0,340730,1/23/2024 22:00,PersonalLoan,LocalSpoke,FALSE,FALSE
141,364400,0.871011226,33,Referral,8,0.586629088,0,219343,1/2/2024 4:00,PersonalLoan,MainBranch,FALSE,FALSE
142,401279,0.515756522,29,Online,49,0.870183686,1,304089,1/5/2024 8:00,PersonalLoan,LocalSpoke,TRUE,FALSE
143,439622,0.56080263,37,Referral,8,0.855816701,0,372006,1/2/2024 0:00,PersonalLoan,LocalSpoke,TRUE,FALSE
144,347366,0.816542563,39,Online,37,0.836942033,0,86787,1/21/2024 13:00,PersonalLoan,MainBranch,FALSE,FALSE
145,127373,0.949511991,19,Online,44,0.54895232,0,404367,1/12/2024 10:00,ConsumerDurables,MainBranch,FALSE,FALSE
146,173684,0.811871863,46,Referral,2,0.652019811,0,65331,1/19/2024 16:00,PersonalLoan,LocalSpoke,FALSE,FALSE
147,323109,0.567012447,24,Branch,17,0.775541944,1,19056,1/5/2024 2:00,ConsumerDurables,LocalSpoke,TRUE,FALSE
148,74538,0.557880023,14,Online,13,0.091684831,0,421138,1/22/2024 23:00,PersonalLoan,LocalSpoke,TRUE,TRUE
149,420210,0.922092948,47,Online,14,0.300597895,0,171611,1/25/2024 7:00,ConsumerDurables,MainBranch,FALSE,FALSE
150,251664,0.569651169,37,Branch,41,0.169089943,1,77176,1/9/2024 6:00,PersonalLoan,LocalSpoke,TRUE,FALSE
151,425396,0.76011598,5,Online,41,0.511467694,0,488208,1/25/2024 20:00,ConsumerDurables,MainBranch,TRUE,TRUE
152,189182,0.51855666,53,Online,9,0.837667957,0,93356,1/20/2024 6:00,PersonalLoan,LocalSpoke,TRUE,FALSE
153,208338,0.540334884,24,Referral,27,0.23071197,0,146561,1/30/2024 0:00,PersonalLoan,LocalSpoke,TRUE,FALSE
154,234064,0.836174134,34,Branch,20,0.730903535,0,176001,1/8/2024 4:00,PersonalLoan,MainBranch,FALSE,FALSE
155,264020,0.844590705,50,Online,38,0.405823996,1,178775,1/19/2024 3:00,PersonalLoan,MainBranch,FALSE,FALSE
156,148806,0.670734703,31,Online,12,0.9030749,0,300789,1/11/2024 21:00,PersonalLoan,LocalSpoke,TRUE,FALSE
157,450126,0.607804883,30,Branch,42,0.626789541,0,240182,1/19/2024 11:00,ConsumerDurables,LocalSpoke,TRUE,FALSE
158,423133,0.906855135,56,Branch,22,0.976553006,0,215898,1/13/2024 4:00,PersonalLoan,MainBranch,FALSE,FALSE
159,140982,0.608551615,9,Referral,37,0.245669776,1,378883,1/22/2024 6:00,ConsumerDurables,MainBranch,TRUE,TRUE
160,171626,0.771013535,27,Referral,39,0.923958378,1,287215,1/1/2024 3:00,PersonalLoan,LocalSpoke,TRUE,FALSE
161,169176,0.98410442,28,Referral,31,0.357055765,1,416122,1/20/2024 10:00,PersonalLoan,LocalSpoke,FALSE,FALSE
162,443422,0.573926219,42,Online,13,0.621967462,0,282979,1/8/2024 6:00,ConsumerDurables,MainBranch,TRUE,FALSE
163,268126,0.970438134,26,Branch,1,0.174508213,1,250323,1/15/2024 4:00,PersonalLoan,LocalSpoke,FALSE,FALSE
164,268969,0.591446527,18,Referral,38,0.75978512,0,474507,1/29/2024 4:00,ConsumerDurables,MainBranch,TRUE,FALSE
165,172409,0.783721604,36,Branch,40,0.978250434,0,348597,1/20/2024 9:00,ConsumerDurables,LocalSpoke,TRUE,FALSE
166,73419,0.688503856,8,Online,9,0.787426116,1,167899,1/8/2024 1:00,PersonalLoan,MainBranch,TRUE,TRUE
167,493852,0.982464301,18,Online,39,0.615796742,1,41787,1/29/2024 15:00,ConsumerDurables,LocalSpoke,FALSE,FALSE
168,303618,0.636771015,20,Branch,10,0.448213975,1,56860,1/30/2024 4:00,ConsumerDurables,LocalSpoke,TRUE,FALSE
169,295310,0.699829001,58,Branch,29,0.345236308,1,236531,1/19/2024 13:00,ConsumerDurables,MainBranch,TRUE,FALSE
170,100015,0.991430059,32,Referral,40,0.419012617,1,233517,1/22/2024 22:00,ConsumerDurables,LocalSpoke,FALSE,FALSE
171,298550,0.768235196,29,Branch,30,0.328288313,0,348768,1/24/2024 18:00,PersonalLoan,LocalSpoke,TRUE,FALSE
172,172096,0.751315058,49,Referral,2,0.832709867,0,462896,1/13/2024 9:00,PersonalLoan,MainBranch,TRUE,FALSE
173,157059,0.628889244,48,Branch,18,0.893111123,0,215159,1/22/2024 5:00,PersonalLoan,MainBranch,TRUE,FALSE
174,235340,0.85068178,18,Branch,28,0.949657686,0,376651,1/7/2024 14:00,ConsumerDurables,MainBranch,FALSE,FALSE
175,160687,0.507186476,7,Branch,47,0.418362322,1,363593,1/29/2024 5:00,ConsumerDurables,LocalSpoke,TRUE,TRUE
176,400083,0.524756315,1,Online,32,0.546219203,1,359831,1/27/2024 9:00,PersonalLoan,LocalSpoke,TRUE,TRUE
177,461357,0.799679294,28,Online,24,0.576895421,0,130542,1/18/2024 8:00,PersonalLoan,LocalSpoke,TRUE,FALSE
178,261428,0.670837287,33,Online,38,0.651088177,1,276752,1/15/2024 23:00,ConsumerDurables,LocalSpoke,TRUE,FALSE
179,155878,0.976658186,50,Referral,14,0.002456341,0,238591,1/15/2024 9:00,PersonalLoan,MainBranch,FALSE,FALSE
180,252982,0.951595345,4,Referral,25,0.842689671,1,375801,1/29/2024 20:00,ConsumerDurables,LocalSpoke,FALSE,TRUE
181,499260,0.856853129,55,Online,25,0.268140654,1,154730,1/18/2024 5:00,PersonalLoan,MainBranch,FALSE,FALSE
182,248286,0.909072791,20,Online,32,0.472164069,0,178015,1/6/2024 5:00,PersonalLoan,MainBranch,FALSE,FALSE
183,299002,0.833665925,53,Branch,27,0.841568257,0,127159,1/5/2024 13:00,PersonalLoan,MainBranch,FALSE,FALSE
184,300396,0.562791051,52,Branch,32,0.996856147,0,96600,1/19/2024 16:00,PersonalLoan,MainBranch,TRUE,FALSE
185,214899,0.882771685,36,Referral,31,0.794883505,1,271155,1/6/2024 21:00,ConsumerDurables,MainBranch,FALSE,FALSE
186,499036,0.605095984,57,Referral,24,0.024833237,0,91718,1/27/2024 9:00,ConsumerDurables,MainBranch,TRUE,FALSE
187,374767,0.661721428,31,Branch,35,0.368754171,0,485020,1/1/2024 9:00,PersonalLoan,LocalSpoke,TRUE,FALSE
188,387594,0.909617106,38,Referral,30,0.247210636,0,99666,1/1/2024 16:00,ConsumerDurables,LocalSpoke,FALSE,FALSE
189,405570,0.768262804,28,Online,33,0.964131733,0,164298,1/30/2024 18:00,ConsumerDurables,MainBranch,TRUE,FALSE
190,429989,0.929970357,3,Branch,33,0.264228916,1,283313,1/21/2024 9:00,ConsumerDurables,LocalSpoke,FALSE,TRUE
191,465515,0.60651766,6,Branch,46,0.94335019,1,244086,1/22/2024 22:00,ConsumerDurables,MainBranch,TRUE,TRUE
192,93585,0.803889219,45,Referral,27,0.937517514,0,118389,1/1/2024 2:00,PersonalLoan,LocalSpoke,FALSE,FALSE
193,421369,0.541895486,23,Branch,33,0.839410313,0,88974,1/11/2024 1:00,ConsumerDurables,MainBranch,TRUE,FALSE
194,114044,0.821530497,7,Branch,33,0.098071767,0,200350,1/8/2024 18:00,PersonalLoan,MainBranch,FALSE,TRUE
195,485773,0.881267019,56,Online,4,0.001995228,0,60940,1/26/2024 14:00,PersonalLoan,LocalSpoke,FALSE,FALSE
196,492296,0.792465447,36,Branch,30,0.793883084,0,232503,1/10/2024 18:00,ConsumerDurables,LocalSpoke,TRUE,FALSE
197,159556,0.633115751,1,Branch,44,0.843299058,0,280570,1/8/2024 9:00,PersonalLoan,MainBranch,TRUE,TRUE
198,52693,0.515671334,6,Branch,15,0.962181693,0,81170,1/25/2024 22:00,PersonalLoan,LocalSpoke,TRUE,TRUE
199,407403,0.559724442,24,Branch,29,0.218382611,0,398149,1/14/2024 4:00,PersonalLoan,MainBranch,TRUE,FALSE
200,293307,0.81115149,37,Online,28,0.733146468,0,43931,1/11/2024 12:00,PersonalLoan,LocalSpoke,FALSE,FALSE
201,250235,0.967210108,45,Branch,32,0.519064417,0,97685,1/13/2024 22:00,ConsumerDurables,MainBranch,FALSE,FALSE
202,75939,0.603267202,51,Online,36,0.328482205,0,430747,1/8/2024 23:00,PersonalLoan,LocalSpoke,TRUE,FALSE
203,492141,0.867513075,36,Online,30,0.60629101,1,69199,1/1/2024 2:00,ConsumerDurables,MainBranch,FALSE,FALSE
204,486157,0.933225532,24,Online,42,0.548199394,0,205937,1/7/2024 13:00,ConsumerDurables,LocalSpoke,FALSE,FALSE
205,202906,0.760441089,38,Referral,43,0.292294399,1,40480,1/8/2024 17:00,PersonalLoan,LocalSpoke,TRUE,FALSE
206,68047,0.834632898,45,Referral,38,0.268462462,1,26737,1/6/2024 20:00,PersonalLoan,MainBranch,FALSE,FALSE
207,338249,0.907507658,29,Branch,42,0.486580224,0,1000,1/3/2024 2:00,ConsumerDurables,LocalSpoke,FALSE,FALSE
208,125766,0.630337579,37,Online,12,0.474036508,0,47020,1/29/2024 18:00,ConsumerDurables,LocalSpoke,TRUE,FALSE
